country,total population,male,female
Moldova,99.6,99.7,99.5
Monaco,nan,nan,nan
Mongolia,99.2,99.1,99.2
Montenegro,99.0,99.4,98.5
Morocco,75.9,84.8,67.4
Mozambique,63.4,74.1,53.8
Namibia,92.3,90.6,92.3
Nauru,nan,nan,nan
Nepal,71.2,81.0,63.3
Netherlands,nan,nan,nan
New Zealand,nan,nan,nan
Nicaragua,82.6,82.4,82.8
Niger,37.3,45.8,29.0
Nigeria,62.0,71.3,52.7
North Korea,100.0,100.0,100.0
North Macedonia,98.4,99.1,97.6
Norway,nan,nan,nan
Oman,95.7,97.0,92.7
Pakistan,58.0,69.3,46.5
Palau,96.6,96.8,96.3
Panama,95.7,98.8,95.4
Papua New Guinea,64.2,65.6,62.8
Paraguay,94.5,94.9,94.2
Peru,94.5,97.0,92.0
Philippines,96.3,95.7,96.9
Poland,99.8,99.8,99.8
Portugal,95.9,97.8,95.9
Qatar,93.5,92.4,94.7
Republic of the Congo,80.6,85.9,75.4
Romania,98.9,99.1,98.7
Russia,99.7,99.7,99.7
Rwanda,75.9,78.7,73.3
Saint Kitts and Nevis,nan,nan,nan
Saint Lucia,nan,nan,nan
Saint Vincent and the Grenadines,nan,nan,nan
Samoa,99.1,99.0,99.3
San Marino,99.9,99.9,99.9
Sao Tome and Principe,94.8,96.5,91.1
Saudi Arabia,97.6,98.6,96.0
Senegal,56.3,68.4,45.4
Serbia,99.5,99.9,99.1
Seychelles,95.9,95.4,96.4
Sierra Leone,47.7,55.3,39.8
Singapore,97.5,98.9,96.1
Slovakia,nan,nan,nan
Slovenia,99.7,99.7,99.7
Solomon Islands,nan,nan,nan
Somalia,nan,nan,nan
South Korea,nan,nan,nan
South Sudan,34.5,40.3,28.9
Spain,98.6,99.0,98.2
Sri Lanka,92.3,93.0,91.6
Sudan,60.7,65.4,56.1
Suriname,95.0,96.5,93.4
Sweden,nan,nan,nan
Switzerland,nan,nan,nan
Syria,86.4,91.7,81.0
Tajikistan,99.8,99.8,99.7
Tanzania,81.8,85.5,78.2
Thailand,94.1,95.5,92.8
The Bahamas,nan,nan,nan
The Gambia,58.1,65.2,51.2
Timor-Leste,68.1,71.9,64.2
Togo,66.5,80.0,55.1
Tonga,99.4,99.4,99.5
Trinidad and Tobago,99.0,99.2,98.7
Tunisia,82.7,89.1,82.7
Turkey,96.7,99.1,94.4
Turkmenistan,99.7,99.8,99.6
Tuvalu,nan,nan,nan
Uganda,79.0,84.0,74.3
Ukraine,100.0,100.0,100.0
United Arab Emirates,98.1,98.8,97.2
United Kingdom,nan,nan,nan
United States,nan,nan,nan
Uruguay,98.8,98.5,99.0
Uzbekistan,100.0,100.0,100.0
Vanuatu,89.1,89.8,88.4
Venezuela,97.5,97.4,97.7
Vietnam,95.8,97.0,94.6
Yemen,70.1,85.1,55.0
Zambia,86.7,90.6,83.1
Zimbabwe,89.7,88.3,89.7
