name,slug,value,date_of_information,ranking,region
"Namibia","namibia","2,777,232","2023 est.","141","Africa"
"Lithuania","lithuania","2,655,755","2023 est.","142","Europe"
"Qatar","qatar","2,532,104","2023 est.","143","Middle East"
"Gambia, The","gambia-the","2,468,569","2023 est.","144","Africa"
"Botswana","botswana","2,417,596","2023 est.","145","Africa"
"Gabon","gabon","2,397,368","2023 est.","146","Africa"
"Lesotho","lesotho","2,210,646","2023 est.","147","Africa"
"North Macedonia","north-macedonia","2,133,410","2023 est.","148","Europe"
"Slovenia","slovenia","2,099,790","2023 est.","149","Europe"
"Guinea-Bissau","guinea-bissau","2,078,820","2023 est.","150","Africa"
"Gaza Strip","gaza-strip","2,037,744","2023 est.","151","Middle East"
"Kosovo","kosovo","1,964,327","2023 est.","152","Europe"
"Latvia","latvia","1,821,750","2023 est.","153","Europe"
"Equatorial Guinea","equatorial-guinea","1,737,695","2023 est.","154","Africa"
"Bahrain","bahrain","1,553,886","2023 est.","155","Middle East"
"Timor-Leste","timor-leste","1,476,042","2023 est.","156","East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1,407,460","2023 est.","157","Central America and the Caribbean"
"Mauritius","mauritius","1,309,448","2023 est.","158","Africa"
"Cyprus","cyprus","1,308,120","2023 est.","159","Europe"
"Estonia","estonia","1,202,762","2023 est.","160","Europe"
"Eswatini","eswatini","1,130,043","2023 est.","161","Africa"
"Djibouti","djibouti","976,143","2023 est.","162","Africa"
"Fiji","fiji","947,760","2023 est.","163","Australia and Oceania"
"Comoros","comoros","888,378","2023 est.","164","Africa"
"Bhutan","bhutan","876,181","2023 est.","165","South Asia"
"Guyana","guyana","791,739","2023 est.","166","South America"
"Solomon Islands","solomon-islands","714,766","2023 est.","167","Australia and Oceania"
"Luxembourg","luxembourg","660,924","2023 est.","168","Europe"
"Macau","macau","639,971","2023 est.","169","East and Southeast Asia"
"Suriname","suriname","639,759","2023 est.","170","South America"
"Cabo Verde","cabo-verde","603,901","2023 est.","171","Africa"
"Montenegro","montenegro","602,445","2023 est.","172","Europe"
"Brunei","brunei","484,991","2023 est.","173","East and Southeast Asia"
"Malta","malta","467,138","2023 est.","174","Europe"
"Belize","belize","419,137","2023 est.","175","Central America and the Caribbean"
"Maldives","maldives","389,568","2023 est.","176","South Asia"
"Iceland","iceland","360,872","2023 est.","177","Europe"
"Bahamas, The","bahamas-the","358,508","2023 est.","178","Central America and the Caribbean"
"Vanuatu","vanuatu","313,046","2023 est.","179","Australia and Oceania"
"Barbados","barbados","303,431","2023 est.","180","Central America and the Caribbean"
"French Polynesia","french-polynesia","301,488","2023 est.","181","Australia and Oceania"
"New Caledonia","new-caledonia","300,682","2023 est.","182","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","220,372","2023 est.","183","Africa"
"Samoa","samoa","207,501","2023 est.","184","Australia and Oceania"
"Guam","guam","169,330","2023 est.","185","Australia and Oceania"
"Saint Lucia","saint-lucia","167,591","2023 est.","186","Central America and the Caribbean"
"Curacao","curacao","152,849","2023 est.","187","Central America and the Caribbean"
"Aruba","aruba","123,702","2023 est.","188","Central America and the Caribbean"
"Kiribati","kiribati","115,372","2023 est.","189","Australia and Oceania"
"Grenada","grenada","114,299","2023 est.","190","Central America and the Caribbean"
"Tonga","tonga","105,221","2023 est.","191","Australia and Oceania"
"Virgin Islands","virgin-islands","104,917","2023 est.","192","Central America and the Caribbean"
"Jersey","jersey","102,785","2023 est.","193","Europe"
"Antigua and Barbuda","antigua-and-barbuda","101,489","2023 est.","194","Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","100,804","2023 est.","195","Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","100,319","2023 est.","196","Australia and Oceania"
"Seychelles","seychelles","97,617","2023 est.","197","Africa"
"Isle of Man","isle-of-man","91,840","2023 est.","198","Europe"
"Andorra","andorra","85,468","2023 est.","199","Europe"
"Marshall Islands","marshall-islands","80,966","2023 est.","200","Australia and Oceania"
"Dominica","dominica","74,656","2023 est.","201","Central America and the Caribbean"
"Bermuda","bermuda","72,576","2023 est.","202","North America"
